,LSOA11CD,LSOA11NM,LSOA21CD,LSOA21NM,CHGIND,LAD22CD,LAD22NM,TotalRes11,TotalRes21,sqkm21,prop21
80,E01000344,Bexley 025B,E01000344,Bexley 025B,U,E09000004,Bexley,1609,1592,0.22659972574669623,1.0
81,E01000345,Bexley 022D,E01000345,Bexley 022D,U,E09000004,Bexley,1355,1342,0.20767704611986457,1.0
82,E01000346,Bexley 021A,E01000346,Bexley 021A,U,E09000004,Bexley,1622,1588,0.3479194643099175,1.0
83,E01000347,Bexley 021B,E01000347,Bexley 021B,U,E09000004,Bexley,1486,1521,0.19638162007101384,1.0
84,E01000348,Bexley 020A,E01000348,Bexley 020A,U,E09000004,Bexley,1481,1515,0.29339520822737924,1.0
85,E01000349,Bexley 020B,E01000349,Bexley 020B,U,E09000004,Bexley,1659,1723,0.33334329956934944,1.0
86,E01000350,Bexley 021C,E01000350,Bexley 021C,U,E09000004,Bexley,1501,1486,0.2694342817543749,1.0
87,E01000351,Bexley 024A,E01000351,Bexley 024A,U,E09000004,Bexley,1586,1612,0.31271450637818105,1.0
88,E01000352,Bexley 021D,E01000352,Bexley 021D,U,E09000004,Bexley,1575,1618,0.3443737583433532,1.0
89,E01000353,Bexley 011A,E01000353,Bexley 011A,U,E09000004,Bexley,1686,1637,0.3377611489388384,1.0
90,E01000354,Bexley 011B,E01000354,Bexley 011B,U,E09000004,Bexley,1505,1492,0.20520972469351428,1.0
91,E01000355,Bexley 011C,E01000355,Bexley 011C,U,E09000004,Bexley,1464,1441,0.4206033230611111,1.0
92,E01000356,Bexley 009A,E01000356,Bexley 009A,U,E09000004,Bexley,1546,1568,0.3095012576244943,1.0
93,E01000357,Bexley 009B,E01000357,Bexley 009B,U,E09000004,Bexley,1457,1403,0.20162708429580262,1.0
94,E01000358,Bexley 011D,E01000358,Bexley 011D,U,E09000004,Bexley,1608,1658,0.29460013193742635,1.0
95,E01000359,Bexley 009C,E01000359,Bexley 009C,U,E09000004,Bexley,1280,1263,0.20368272784331184,1.0
96,E01000360,Bexley 015A,E01000360,Bexley 015A,U,E09000004,Bexley,1662,1910,0.4397421166217186,1.0
97,E01000361,Bexley 020C,E01000361,Bexley 020C,U,E09000004,Bexley,1540,1591,0.28532378313181256,1.0
98,E01000362,Bexley 015B,E01000362,Bexley 015B,U,E09000004,Bexley,1482,1864,0.39443011325767063,1.0
99,E01000363,Bexley 020D,E01000363,Bexley 020D,U,E09000004,Bexley,1441,1559,0.4185947464253901,1.0
100,E01000163,Barnet 022C,E01000163,Barnet 022C,U,E09000003,Barnet,1558,1691,0.19134687636136394,1.0
101,E01000164,Barnet 022D,E01000164,Barnet 022D,U,E09000003,Barnet,1686,1712,0.547145382494536,1.0
102,E01000165,Barnet 022E,E01000165,Barnet 022E,U,E09000003,Barnet,1862,1812,0.1850647611145257,1.0
103,E01000166,Barnet 003A,E01000166,Barnet 003A,U,E09000003,Barnet,1582,1620,0.36960621990109416,1.0
104,E01000167,Barnet 002A,E01000167,Barnet 002A,U,E09000003,Barnet,1307,1389,0.6017702812968146,1.0
105,E01000168,Barnet 003B,E01000168,Barnet 003B,U,E09000003,Barnet,1564,1516,0.3138565890842291,1.0
106,E01000169,Barnet 003C,E01000169,Barnet 003C,U,E09000003,Barnet,1490,1631,0.23843234269054248,1.0
107,E01000170,Barnet 006A,E01000170,Barnet 006A,U,E09000003,Barnet,1636,1906,0.2965082097728586,1.0
108,E01000171,Barnet 006B,E01000171,Barnet 006B,U,E09000003,Barnet,1849,2289,0.33313896064513154,1.0
109,E01000172,Barnet 003D,E01000172,Barnet 003D,U,E09000003,Barnet,1677,1690,0.5438430577591886,1.0
110,E01000173,Barnet 006C,E01000173,Barnet 006C,U,E09000003,Barnet,1719,1690,0.36561177391644695,1.0
111,E01000174,Barnet 006D,E01000174,Barnet 006D,U,E09000003,Barnet,1728,1759,0.188486147254089,1.0
112,E01000175,Barnet 006E,E01000175,Barnet 006E,U,E09000003,Barnet,1585,2031,0.5008097708744844,1.0
113,E01000176,Barnet 027A,E01000176,Barnet 027A,U,E09000003,Barnet,1613,1722,0.219800924910441,1.0
114,E01000177,Barnet 029A,E01000177,Barnet 029A,U,E09000003,Barnet,1628,1663,0.16910575064392788,1.0
115,E01000178,Barnet 027B,E01000178,Barnet 027B,U,E09000003,Barnet,1791,1673,0.41761755920302984,1.0
116,E01000179,Barnet 029B,E01000179,Barnet 029B,U,E09000003,Barnet,1614,1789,0.1434919225151474,1.0
117,E01000180,Barnet 029C,E01000180,Barnet 029C,U,E09000003,Barnet,1607,1616,0.17059979576057524,1.0
118,E01000181,Barnet 029D,E01000181,Barnet 029D,U,E09000003,Barnet,1711,1688,0.14312496079420353,1.0
119,E01000182,Barnet 029E,E01000182,Barnet 029E,U,E09000003,Barnet,1691,1619,0.2193327310150178,1.0
120,E01000183,Barnet 033A,E01000183,Barnet 033A,U,E09000003,Barnet,1473,1522,0.23124210883068852,1.0
121,E01000184,Barnet 027C,E01000184,Barnet 027C,U,E09000003,Barnet,1414,1873,0.685998029025562,1.0
122,E01000185,Barnet 029F,E01000185,Barnet 029F,U,E09000003,Barnet,1447,1474,0.12362142464750007,1.0
123,E01000186,Barnet 014A,E01000186,Barnet 014A,U,E09000003,Barnet,1612,1771,0.25491184024600827,1.0
124,E01000187,Barnet 014B,E01000187,Barnet 014B,U,E09000003,Barnet,1657,1737,0.21577386027539724,1.0
125,E01000188,Barnet 014C,E01000188,Barnet 014C,U,E09000003,Barnet,1554,1578,3.1892162845735728,1.0
126,E01000189,Barnet 014D,E01000189,Barnet 014D,U,E09000003,Barnet,1814,2469,0.16205253204985637,1.0
127,E01000190,Barnet 014E,E01000190,Barnet 014E,U,E09000003,Barnet,1579,1731,0.24834216641838902,1.0
128,E01000191,Barnet 014F,E01000191,Barnet 014F,U,E09000003,Barnet,1525,1549,0.25435584756069995,1.0
129,E01000192,Barnet 018A,E01000192,Barnet 018A,U,E09000003,Barnet,1850,1997,0.2840415395359575,1.0
130,E01000193,Barnet 018B,E01000193,Barnet 018B,U,E09000003,Barnet,1709,1948,0.3038910497288151,1.0
131,E01000194,Barnet 018C,E01000194,Barnet 018C,U,E09000003,Barnet,1640,1906,0.33232310162265705,1.0
132,E01000195,Barnet 013A,E01000195,Barnet 013A,U,E09000003,Barnet,1788,2019,0.3152725515232466,1.0
133,E01000196,Barnet 028A,E01000196,Barnet 028A,U,E09000003,Barnet,1802,2124,0.24578360517629752,1.0
134,E01000197,Barnet 023A,E01000197,Barnet 023A,U,E09000003,Barnet,1830,1851,0.27704997518996366,1.0
135,E01000198,Barnet 025A,E01000198,Barnet 025A,U,E09000003,Barnet,1893,2193,0.3292188653816425,1.0
136,E01000199,Barnet 025B,E01000199,Barnet 025B,U,E09000003,Barnet,1617,1580,0.3380688666038112,1.0
137,E01000200,Barnet 028B,E01000200,Barnet 028B,U,E09000003,Barnet,1845,1978,0.27782520757528073,1.0
138,E01000201,Barnet 028C,E01000201,Barnet 028C,U,E09000003,Barnet,1531,1541,0.39364265361997863,1.0
139,E01000202,Barnet 028D,E01000202,Barnet 028D,U,E09000003,Barnet,1751,1673,0.2259855047578612,1.0
140,E01000203,Barnet 028E,E01000203,Barnet 028E,U,E09000003,Barnet,1718,1843,0.30518157325030254,1.0
141,E01000204,Barnet 025C,E01000204,Barnet 025C,U,E09000003,Barnet,1728,1701,0.3165569591612619,1.0
142,E01000205,Barnet 035A,E01000205,Barnet 035A,U,E09000003,Barnet,1522,1506,0.380370033854707,1.0
143,E01000206,Barnet 033B,E01000206,Barnet 033B,U,E09000003,Barnet,1576,1501,1.3211690348921996,1.0
144,E01000207,Barnet 033C,E01000207,Barnet 033C,U,E09000003,Barnet,1583,1579,0.3467782306782044,1.0
145,E01000208,Barnet 033D,E01000208,Barnet 033D,U,E09000003,Barnet,1594,1629,0.4068275500235649,1.0
146,E01000209,Barnet 035B,E01000209,Barnet 035B,U,E09000003,Barnet,1563,1483,0.40142086936779164,1.0
147,E01000210,Barnet 033E,E01000210,Barnet 033E,U,E09000003,Barnet,1548,1548,0.4963962519444194,1.0
148,E01000211,Barnet 035C,E01000211,Barnet 035C,U,E09000003,Barnet,2014,2128,0.2742118397988414,1.0
149,E01000212,Barnet 035D,E01000212,Barnet 035D,U,E09000003,Barnet,1428,1347,0.3477812219088619,1.0
150,E01000108,Barking and Dagenham 010D,E01000108,Barking and Dagenham 010D,U,E09000002,Barking and Dagenham,1558,1915,0.24212775066952527,1.0
151,E01000110,Barking and Dagenham 002C,E01000110,Barking and Dagenham 002C,U,E09000002,Barking and Dagenham,1416,1573,0.19463580853843512,1.0
152,E01000111,Barking and Dagenham 002D,E01000111,Barking and Dagenham 002D,U,E09000002,Barking and Dagenham,1833,2155,0.29663170982977277,1.0
153,E01000112,Barking and Dagenham 002E,E01000112,Barking and Dagenham 002E,U,E09000002,Barking and Dagenham,1871,1971,0.2774730339171012,1.0
154,E01000113,Barking and Dagenham 002F,E01000113,Barking and Dagenham 002F,U,E09000002,Barking and Dagenham,1679,1993,0.15391852091463165,1.0
155,E01000114,Barking and Dagenham 004E,E01000114,Barking and Dagenham 004E,U,E09000002,Barking and Dagenham,2090,2419,0.2561040923663378,1.0
156,E01000115,Barnet 009A,E01000115,Barnet 009A,U,E09000003,Barnet,1484,1395,0.27404883634369104,1.0
157,E01000116,Barnet 009B,E01000116,Barnet 009B,U,E09000003,Barnet,1718,1745,0.24520422180412568,1.0
158,E01000117,Barnet 010A,E01000117,Barnet 010A,U,E09000003,Barnet,1819,1736,0.33113105570522666,1.0
159,E01000118,Barnet 010B,E01000118,Barnet 010B,U,E09000003,Barnet,1936,2049,0.2851473198388301,1.0
160,E01000119,Barnet 009C,E01000119,Barnet 009C,U,E09000003,Barnet,1680,1793,0.397471873635039,1.0
161,E01000120,Barnet 009D,E01000120,Barnet 009D,U,E09000003,Barnet,1504,1495,0.2451284822709477,1.0
162,E01000121,Barnet 010C,E01000121,Barnet 010C,U,E09000003,Barnet,1497,1477,0.37638591879983846,1.0
163,E01000122,Barnet 009E,E01000122,Barnet 009E,U,E09000003,Barnet,1471,1511,0.23611453587326448,1.0
164,E01000123,Barnet 010D,E01000123,Barnet 010D,U,E09000003,Barnet,1664,1762,0.5274128955712957,1.0
165,E01000124,Barnet 010E,E01000124,Barnet 010E,U,E09000003,Barnet,1621,1867,0.2556450233111096,1.0
166,E01000126,Barnet 026A,E01000126,Barnet 026A,U,E09000003,Barnet,2162,2274,0.1615073927188758,1.0
167,E01000127,Barnet 024B,E01000127,Barnet 024B,U,E09000003,Barnet,1505,1557,0.20050175965684827,1.0
168,E01000128,Barnet 024C,E01000128,Barnet 024C,U,E09000003,Barnet,1869,2049,0.24678174171315465,1.0
169,E01000129,Barnet 024D,E01000129,Barnet 024D,U,E09000003,Barnet,1782,1604,0.1717845279414546,1.0
170,E01000130,Barnet 021A,E01000130,Barnet 021A,U,E09000003,Barnet,1603,1939,0.1711886353048944,1.0
171,E01000131,Barnet 024E,E01000131,Barnet 024E,U,E09000003,Barnet,1806,2021,0.3359939063333156,1.0
172,E01000132,Barnet 021B,E01000132,Barnet 021B,U,E09000003,Barnet,1478,1617,0.15349372329879182,1.0
173,E01000133,Barnet 021C,E01000133,Barnet 021C,U,E09000003,Barnet,1601,1645,0.15571017553453978,1.0
174,E01000134,Barnet 024F,E01000134,Barnet 024F,U,E09000003,Barnet,1632,1824,0.1593371366725437,1.0
175,E01000135,Barnet 038A,E01000135,Barnet 038A,U,E09000003,Barnet,1564,1699,0.33070371037850405,1.0
176,E01000136,Barnet 038B,E01000136,Barnet 038B,U,E09000003,Barnet,1532,1486,0.5204484835286145,1.0
177,E01000137,Barnet 041A,E01000137,Barnet 041A,U,E09000003,Barnet,1729,1658,0.12301018285360027,1.0
178,E01000138,Barnet 040A,E01000138,Barnet 040A,U,E09000003,Barnet,1449,1617,0.26161649348772403,1.0
179,E01000139,Barnet 041B,E01000139,Barnet 041B,U,E09000003,Barnet,1429,1388,0.35098392488934926,1.0
180,E01000140,Barnet 041C,E01000140,Barnet 041C,U,E09000003,Barnet,1631,1957,0.1459270599722069,1.0
181,E01000141,Barnet 039A,E01000141,Barnet 039A,U,E09000003,Barnet,2104,1864,0.370657781482047,1.0
182,E01000142,Barnet 040B,E01000142,Barnet 040B,U,E09000003,Barnet,2381,2237,0.1994869087005209,1.0
183,E01000143,Barnet 041D,E01000143,Barnet 041D,U,E09000003,Barnet,1459,1671,0.17445492381215413,1.0
184,E01000144,Barnet 038C,E01000144,Barnet 038C,U,E09000003,Barnet,1538,1660,0.1980354082243453,1.0
185,E01000145,Barnet 037A,E01000145,Barnet 037A,U,E09000003,Barnet,1517,1614,0.20701497122386842,1.0
186,E01000146,Barnet 038D,E01000146,Barnet 038D,U,E09000003,Barnet,1716,1872,0.20655715869928387,1.0
187,E01000147,Barnet 030A,E01000147,Barnet 043F,U,E09000003,Barnet,1734,1913,0.20225686499131743,1.0
188,E01000150,Barnet 036A,E01000150,Barnet 036A,U,E09000003,Barnet,2060,2255,0.46470813249831994,1.0
189,E01000151,Barnet 026B,E01000151,Barnet 026B,U,E09000003,Barnet,1711,1721,0.1422627402127141,1.0
190,E01000152,Barnet 026C,E01000152,Barnet 026C,U,E09000003,Barnet,1729,2693,0.1848640913547574,1.0
191,E01000153,Barnet 026D,E01000153,Barnet 026D,U,E09000003,Barnet,1541,1929,0.16508380096277378,1.0
192,E01000154,Barnet 026E,E01000154,Barnet 026E,U,E09000003,Barnet,1360,1915,0.13474900716298505,1.0
193,E01000156,Barnet 022A,E01000156,Barnet 022A,U,E09000003,Barnet,1875,2026,0.180019644997674,1.0
194,E01000157,Barnet 022B,E01000157,Barnet 022B,U,E09000003,Barnet,1541,1582,0.125815431933745,1.0
195,E01000158,Barnet 015A,E01000158,Barnet 015A,U,E09000003,Barnet,1470,1464,0.2704307955119301,1.0
196,E01000159,Barnet 015B,E01000159,Barnet 015B,U,E09000003,Barnet,1777,1786,0.493321433563966,1.0
197,E01000160,Barnet 015C,E01000160,Barnet 015C,U,E09000003,Barnet,2061,1955,0.302434549168542,1.0
198,E01000161,Barnet 015D,E01000161,Barnet 015D,U,E09000003,Barnet,1821,2034,0.2424571346218553,1.0
199,E01000162,Barnet 015E,E01000162,Barnet 015E,U,E09000003,Barnet,1599,1651,0.18230152822058557,1.0
200,E01000213,Barnet 033F,E01000213,Barnet 033F,U,E09000003,Barnet,1438,1351,0.42468344049922935,1.0
201,E01000214,Barnet 038E,E01000214,Barnet 038E,U,E09000003,Barnet,1663,1627,0.3312510215490261,1.0
202,E01000215,Barnet 037B,E01000215,Barnet 037B,U,E09000003,Barnet,2033,2146,0.2188220125802721,1.0
203,E01000216,Barnet 035E,E01000216,Barnet 035E,U,E09000003,Barnet,1968,1978,0.19496887458352063,1.0
204,E01000217,Barnet 035F,E01000217,Barnet 035F,U,E09000003,Barnet,1725,1785,0.2146298881194277,1.0
205,E01000218,Barnet 037C,E01000218,Barnet 037C,U,E09000003,Barnet,1818,1844,0.15166345682959353,1.0
206,E01000219,Barnet 037D,E01000219,Barnet 037D,U,E09000003,Barnet,1905,2196,0.1913019144756345,1.0
207,E01000220,Barnet 037E,E01000220,Barnet 037E,U,E09000003,Barnet,1871,1888,0.1532307606529444,1.0
208,E01000221,Barnet 039B,E01000221,Barnet 039B,U,E09000003,Barnet,1294,1412,0.4216452651686505,1.0
209,E01000222,Barnet 040C,E01000222,Barnet 040C,U,E09000003,Barnet,1582,2038,0.4159436637026643,1.0
210,E01000223,Barnet 039C,E01000223,Barnet 039C,U,E09000003,Barnet,1287,2032,0.5444148640066178,1.0
211,E01000224,Barnet 040D,E01000224,Barnet 040D,U,E09000003,Barnet,1559,1692,0.16056233334520104,1.0
212,E01000225,Barnet 037F,E01000225,Barnet 037F,U,E09000003,Barnet,1776,1870,0.31044279775188954,1.0
213,E01000226,Barnet 018D,E01000226,Barnet 018D,U,E09000003,Barnet,1758,1735,0.17306587836405113,1.0
214,E01000227,Barnet 018E,E01000227,Barnet 018E,U,E09000003,Barnet,1854,1869,0.2557357734756343,1.0
215,E01000228,Barnet 007A,E01000228,Barnet 007A,U,E09000003,Barnet,1481,1436,2.8859995969125807,1.0
216,E01000229,Barnet 013B,E01000229,Barnet 013B,U,E09000003,Barnet,1667,1670,0.27970255162003493,1.0
217,E01000230,Barnet 013C,E01000230,Barnet 013C,U,E09000003,Barnet,1785,1960,0.271557827272512,1.0
218,E01000231,Barnet 013D,E01000231,Barnet 013D,U,E09000003,Barnet,1849,1787,0.3649794709116922,1.0
219,E01000232,Barnet 013E,E01000232,Barnet 013E,U,E09000003,Barnet,1837,1871,0.29839760797474685,1.0
220,E01000233,Barnet 013F,E01000233,Barnet 013F,U,E09000003,Barnet,1817,1938,0.26468680183523247,1.0
